GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pos,com.increff.pos.dao,AbstractDao,3,68,0,0,1,12,1,6,1,6
pos,com.increff.pos.dao,ProductDao,16,19,0,0,3,5,1,3,1,3
pos,com.increff.pos.dao,BrandDao,0,24,0,0,0,6,0,3,0,3
pos,com.increff.pos.dao,SalesDao,35,3,0,0,7,1,2,1,2,1
pos,com.increff.pos.dao,InventoryDao,0,4,0,0,0,2,0,2,0,2
pos,com.increff.pos.dao,UserDao,31,3,0,0,8,1,3,1,3,1
pos,com.increff.pos.dao,OrderItemDao,1,17,0,0,1,4,1,2,1,2
pos,com.increff.pos.dao,OrderDao,18,11,0,0,4,3,1,2,1,2
pos,com.increff.pos.dto,UserDto,64,3,4,0,17,1,9,1,7,1
pos,com.increff.pos.dto,BrandDto,9,123,0,6,3,37,0,10,0,7
pos,com.increff.pos.dto,ProductDto,2,156,0,8,1,42,0,10,0,6
pos,com.increff.pos.dto,AdminDto,79,3,4,0,20,1,8,1,6,1
pos,com.increff.pos.dto,SalesReportDto,246,8,18,0,46,2,14,1,5,1
pos,com.increff.pos.dto,InitDto,88,3,8,0,21,1,7,1,3,1
pos,com.increff.pos.dto,AbstractUiDto,31,3,2,0,6,1,2,1,1,1
pos,com.increff.pos.dto,OrderDto,10,191,0,10,2,44,1,12,1,7
pos,com.increff.pos.dto,LoginDto,91,3,6,0,20,1,6,1,3,1
pos,com.increff.pos.dto,AppRestDto,27,3,0,0,6,1,2,1,2,1
pos,com.increff.pos.dto,InventoryDto,9,258,0,14,3,64,0,15,0,8
pos,com.increff.pos.dto,SalesDto,140,3,8,0,34,1,8,1,4,1
pos,com.increff.pos.model.commons,InventoryItem,7,24,0,0,1,5,2,7,2,7
pos,com.increff.pos.api,OrderApi,110,28,2,0,21,9,10,5,9,5
pos,com.increff.pos.api,ProductApi,0,113,0,6,0,28,0,14,0,11
pos,com.increff.pos.api,BrandApi,0,99,0,6,0,24,0,12,0,9
pos,com.increff.pos.api,InventoryApi,0,82,0,2,0,22,0,8,0,7
pos,com.increff.pos.api,UserApi,25,3,0,0,7,1,5,1,5,1
pos,com.increff.pos.api,SalesApi,39,3,0,0,10,1,5,1,5,1
pos,com.increff.pos.model.data,OrderData,3,14,0,0,1,3,1,4,1,4
pos,com.increff.pos.model.data,MessageData,10,0,0,0,3,0,3,0,3,0
pos,com.increff.pos.model.data,ProductErrorData,0,10,0,0,0,3,0,3,0,3
pos,com.increff.pos.model.data,OrderItem,31,0,0,0,6,0,9,0,9,0
pos,com.increff.pos.model.data,OrderItemData,9,15,0,0,3,2,3,4,3,4
pos,com.increff.pos.model.data,InfoData,17,0,0,0,4,0,5,0,5,0
pos,com.increff.pos.model.data,SalesReportData,23,0,0,0,7,0,5,0,5,0
pos,com.increff.pos.model.data,ProductData,0,10,0,0,0,3,0,3,0,3
pos,com.increff.pos.model.data,BrandErrorData,0,10,0,0,0,3,0,3,0,3
pos,com.increff.pos.model.data,BrandData,0,10,0,0,0,3,0,3,0,3
